MSFT
AAPL
AMZN
NVDA
GOOGL
META
GOOG
BRK.B
TSLA
LLY
UNH
JPM
AVGO
V
XOM
JNJ
HD
PG
MA
MRK
COST
ABBV
ADBE
CRM
CVX
AMD
KO
WMT
PEP
BAC
ACN
NFLX
MCD
TMO
CSCO
INTC
ABT
LIN
WFC
CMCSA
INTU
ORCL
DIS
AMGN
PFE
VZ
QCOM
TXN
DHR
CAT
NOW
IBM
PM
UNP
GE
SPGI
HON
COP
UBER
NKE
ISRG
AMAT
BA
LOW
NEE
GS
RTX
BKNG
-
PLD
MDT
T
UPS
MS
ELV
BLK
VRTX
TJX
GILD
SBUX
AXP
DE
SYK
BMY
CVS
PANW
LRCX
C
LMT
MDLZ
PGR
REGN
SCHW
ETN
ADP
AMT
MMC
ADI
CB
MU
ZTS
CI
BSX
BX
TMUS
FI
SO
KLAC
SNPS
EQIX
DUK
MO
ICE
CDNS
CME
SHW
ITW
SLB
CSX
BDX
CL
EOG
USB
NOC
WM
PYPL
TGT
MCK
ANET
CMG
MMM
PNC
PH
AON
ABNB
FCX
MCO
MPC
APD
FDX
PSX
APH
TDG
GD
TT
ORLY
LULU
HUM
MAR
HCA
ROP
NXPI
EMR
MSI
PXD
NSC
ADSK
CTAS
TFC
AJG
DXCM
WELL
ECL
GM
COF
PCAR
CCI
CARR
SRE
DHI
AIG
HLT
IDXX
SPG
PSA
ROST
F
MCHP
EW
AFL
TRV
AZO
MET
VLO
MSCI
MNST
NEM
CNC
O
WMB
KMB
NUE
STZ
CPRT
AEP
TEL
OKE
DLR
BK
FTNT
ALL
JCI
IQV
AMP
LEN
D
LHX
SYY
PAYX
URI
OXY
A
CTSH
KVUE
DOW
HES
PRU
GWW
AME
ADM
CHTR
FIS
PCG
CEG
GIS
COR
FAST
BIIB
YUM
ROK
MRNA
EXC
OTIS
ODFL
IT
KMI
PPG
RSG
GPN
EA
XEL
CSGP
VRSK
CMI
DD
ON
CTVA
KDP
EL
BKR
ED
IR
VICI
EXR
ANSS
MLM
FICO
PEG
HAL
KHC
KR
GEHC
CDW
DG
EFX
DLTR
VMC
ACGL
PWR
HSY
RCL
MPWR
DVN
DFS
KEYS
XYL
DAL
EIX
CBRE
FANG
WST
HPQ
CAH
SBAC
RMD
TTWO
WEC
AWK
WTW
HIG
ZBH
AVB
WY
MTD
TROW
FTV
STT
LYB
TSCO
CHD
FITB
APTV
ULTA
GLW
BR
WBD
MOH
PHM
WAB
MTB
ILMN
DTE
STE
EBAY
NVR
HWM
EQR
DOV
HPE
ETR
FLT
RJF
BLDR
PPL
PTC
BAX
TDY
ALGN
NDAQ
GPC
IFF
FE
ARE
EXPE
INVH
CBOE
ES
DRI
IRM
CTRA
LH
TRGP
EXPD
HBAN
CNP
HOLX
GRMN
LVS
BALL
VTR
VRSN
COO
NTAP
AEE
WAT
RF
HUBB
CCL
AKAM
FDS
CLX
AXON
OMC
PFG
STLD
DECK
J
NTRS
TYL
LUV
WBA
ATO
FSLR
SWKS
EPAM
BRO
VLTO
CINF
JBL
CMS
MKC
STX
JBHT
AVY
RS
TER
LW
IEX
SYF
TSN
SMCI
SNA
EG
ESS
WDC
PKG
MAA
TXT
WRB
DGX
MAS
GDDY
ALB
SWK
ENPH
CF
EQT
CFG
BBY
DPZ
CSL
POOL
CE
LII
LDOS
PODD
VTRS
BG
WPC
AMCR
RVTY
K
GGG
RPM
HST
CAG
KEY
KIM
ZBRA
UAL
GEN
OC
SJM
VST
DT
MRO
WSO
LKQ
L
LYV
IP
TRMB
MANH
WSM
NDSN
JKHY
FNF
IPG
BURL
LECO
LNT
ACM
JNPR
GLPI
ROL
ELS
NBIX
EVRG
NRG
TAP
AES
BLD
PNR
KMX
TOL
MGM
SAIA
INCY
TECH
UDR
MOS
TFX
REXR
FND
RGA
CCK
PFGC
ALLE
WRK
FFIV
PSTG
MKTX
REG
CRL
HII
PEAK
FIVE
RNR
OVV
EME
EQH
MTCH
NI
X
EMN
EWBC
ITT
HSIC
GL
BBWI
BF.B
CHRW
CPT
QRVO
CDAY
CUBE
APA
BXP
SCI
XPO
CASY
AOS
FBIN
UTHR
USFD
RRX
TTC
KNX
TREX
NWSA
PAYC
TPX
IBKR
WYNN
CYTK
CZR
LAMR
NLY
CPB
TTEK
WBS
RHI
NVT
ALLY
CLF
