Ticker,Name,pegRatio,marketCap,freeCashflow,sharesOutstanding,currentPrice,percentHeldInsiders
MODV,ModivCare Inc.,0.98,552430080,-94922872,14186700,38.94,-5.819778588241619,0.012519999
KREF,KKR Real Estate Finance Trust I,0.6,859492352,,69313904,12.4,null,0.01268
VTLE,"Vital Energy, Inc.",-0.24,1464497920,-532348512,35400000,41.37,-2.7510136066652513,0.29282
BLFS,"BioLife Solutions, Inc.",-1.09,767158976,-4468625,45047500,17.03,-171.67672941900474,0.03175
SSP,E.W. Scripps Company (The),-0.09,612651648,129616496,72687696,7.24,4.060123018909568,0.16789
EHAB,"Enhabit, Inc.",-0.92,506810240,35512500,50129600,10.11,14.271320126715944,0.01936
RGNX,REGENXBIO Inc.,-0.18,605769856,-139384624,43992000,13.77,-4.346030592298329,0.081599995
HCI,"HCI Group, Inc.",0.66,870982848,43850000,9738180,89.44,19.862778088939567,0.28628
WSR,Whitestone REIT,,629494336,52499248,49585500,12.52,11.825130523774359,0.06007
CLDT,Chatham Lodging Trust (REIT),-22.35,521267200,81954496,48858900,10.41,6.206140893112197,0.025
SLP,"Simulations Plus, Inc.",3.9,757352128,14945375,19967100,37.93,50.674680494801905,0.19288999
AMCX,AMC Networks Inc.,-0.21,754414144,1366628608,32073000,17.32,0.40647792439597463,0.08611
DXPE,"DXP Enterprises, Inc.",0.57,513924224,64395500,16176400,31.77,7.980747536706757,0.1974
HSII,Heidrick & Struggles Internatio,0.94,555775168,-79528248,20122200,27.62,-6.988399442673502,0.02533
RES,"RPC, Inc.",0.14,1396832896,155287504,216228000,6.46,8.995140265761501,0.60706
GDOT,Green Dot Corporation,0.42,460531168,,52452300,8.78,null,0.03644
MOV,Movado Group Inc.,1.0,613603200,51085000,15596900,27.79,8.484640324948614,0.0269
TMST,TimkenSteel Corporation,-0.62,870863872,-13675000,43154800,20.18,-63.68291510054844,0.13656001
CVGW,"Calavo Growers, Inc.",4.04,475819872,-3207000,17761100,26.79,-148.3691515434986,0.03449
CEVA,"CEVA, Inc.",-40.79,475934240,196125,23561100,20.2,2426.6881835564054,0.02905
APPS,"Digital Turbine, Inc.",4.76,540984704,81759624,101308000,5.34,6.6167711338789905,0.040110003
CRSR,"Corsair Gaming, Inc.",0.24,1363441920,41368124,102979000,13.24,32.958757327259995,0.03011
LQDT,"Liquidity Services, Inc.",-1.09,519778080,31681500,30756100,16.9,16.406359863011534,0.27997
EZPW,"EZCORP, Inc.",0.25,460717984,48386124,51746900,8.42,9.004831591800988,0.03773
BGS,"B&G Foods, Inc.",8.46,770519104,246034128,78624400,9.8,3.131757070710125,0.02251
XPER,Xperi Inc.,-8.91,438135264,44766500,43465800,10.08,9.787123496364469,0.02368
RGP,"Resources Connection, Inc.",1.86,438622336,72106248,33508200,13.09,6.0830004356903995,0.054169998
UHT,Universal Health Realty Income ,,558863872,38439752,13823000,40.43,14.538696555586519,0.078940004
TALO,"Talos Energy, Inc.",,1564648704,169956368,124080000,12.61,9.206179317741126,0.120129995
FORR,"Forrester Research, Inc.",2.75,478666304,39113876,19239000,24.88,12.237762373639471,0.38241002
SXC,"SunCoke Energy, Inc.",2.02,858501056,171750000,83756200,10.25,4.998550509461427,0.013040001
